mfg part number;quantity 1;Mfg Part Number;Mfg Name;Mouser Part Number;Description;Price 1;Min\Mult;Stock;Lead Time;Lifecycle;NCNR;RoHS;Suggested Replacement;RoHS Replacement;PB Free;Package Type;Package Quantity;Package Price;Data Sheet URL;Product Image
291-1.0-RC;1;291-1.0-RC;Xicon;291-1.0-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 1ohms 0.05;0,173 €;1\1;10 729;10 Weeks;;No;Yes;;;;;;;;
291-1K-RC;4;291-1K-RC;Xicon;291-1K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 1Kohms 0.05;0,173 €;1\1;462 712;11 Weeks;;No;Yes;;;;;;;;
291-2K-RC;1;291-2K-RC;Xicon;291-2K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 2Kohms 0.05;0,173 €;1\1;28 446;;;No;Yes;;;;;;;;
291-100K-RC;1;291-100K-RC;Xicon;291-100K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 100Kohms 0.05;0,173 €;1\1;199 196;12 Weeks;;No;Yes;;;;;;;;
140-100Z5-103Z-RC;1;140-100Z5-103Z-RC;Xicon;140-100Z5-103Z-RC;Ceramic Disc Capacitors Ceramic Disc Capacitors 100V .01uF Z5U +80%/-20% Tol;;1\1;;;Obsolete;Yes;Yes;;;;;;;;
80-C322C104K5R;2;C322C104K5R5TA;Kemet;80-C322C104K5R;Multilayer Ceramic Capacitors MLCC - Leaded Multilayer Ceramic Capacitors MLCC - Leaded 50volts 0.1uF 10% X7R;0,302 €;1\1;25 278;12 Weeks;;No;Yes;;;;;;;;
871-B41827A9106M000;2;B41827A9106M000;EPCOS / TDK;871-B41827A9106M000;Aluminum Electrolytic Capacitors - Leaded Aluminum Electrolytic Capacitors - Leaded 100volts 10uF 6.3x11mm 85deg C;;1\1;;;;Yes;Yes;;;;;;;;
844-1N5817;3;VS-1N5817;Vishay;844-1N5817;Schottky Diodes & Rectifiers Schottky Diodes & Rectifiers 1.0 Amp 20 Volt;0,187 €;50\50;;51 Weeks;End of Life;Yes;Yes;625-1N5817-E3/73;;;;;;;
512-LM78L05ACZ;1;LM78L05ACZ;Fairchild Semiconductor;512-LM78L05ACZ;Linear Voltage Regulators Linear Voltage Regulators 0.1A Pos Volt Reg;0,339 €;1\1;11 092;6 Weeks;;No;Yes;;;;;;;;
649-DILB14P-223TLF;1;DILB14P-223TLF;FCI / Amphenol;649-DILB14P-223TLF;IC & Component Sockets IC & Component Sockets 14P DIP SOCKET;0,217 €;1\1;7 454;8 Weeks;;No;Yes;;;;;;;;
595-NE556N;1;NE556N;Texas Instruments;595-NE556N;Timers & Support Products Timers & Support Products Dual Precision;0,49 €;1\1;2 421;6 Weeks;;No;Yes;;;;;;;;
652-PTD902-20BAPB504;2;PTD902-20BAP-B504;Bourns;652-PTD902-20BAPB504;Potentiometers Potentiometers 500K LINEAR;;1\1;;;Obsolete;Yes;Yes;;;;;;;;
502-35RAPC2AV;3;35RAPC2AV;Switchcraft;502-35RAPC2AV;Phone Connectors Phone Connectors 3.5MM MONO JACK;1,48 €;1\1;1 977;7 Weeks;;No;Yes;;;;;;;;
517-30316-6002;1;30316-6002HB;3M;517-30316-6002;Headers & Wire Housings Headers & Wire Housings 16P STRT 4WALL GLDFL;0,726 €;1\1;2 335;9 Weeks;;No;Yes;;;;;;;;
450-1C618;2;450-1C618;Eagle Plastic Devices;450-1C618;Knobs & Dials Knobs & Dials SOFT TCH SH BK/RD T18;0,94 €;1\1;326;;;No;No;;;;;;;;
Various;1;;;;;;;;;;;;;;;;;;;
