Clouds, v3.0;;;;;;;;;;;;;;;;;;;;;;;;;
Index;Qty;Description;Specs;Value;Package;Ref. Mouser;References;;;;;;;;;;;;;;;;;;
SMT parts;;;;;;;;;;;;;;;;;;;;;;;;;
R11;1;Resistor, 5%, 250mW;;4,7;1206;667-ERJ-8GEYJ4R7V;;;;;;;;;;;;;;;;;;;
R1, R2, R3, R4, R5, R6, R7, R8, R9, R10;10;Resistor, 1%;;68,1;0603;667-ERJ-3EKF68R1V;;;;;;;;;;;;;;;;;;;
R30;1;Resistor, 1%;;470;0603;667-ERJ-3EKF4700V;;;;;;;;;;;;;;;;;;;
R61, R62;2;Resistor, 1%;;1.0k;0603;667-ERJ-3EKF1001V;;;;;;;;;;;;;;;;;;;
R40, R41;2;Resistor, 1%;;2.2k;0603;667-ERJ-3EKF2201V;;;;;;;;;;;;;;;;;;;
R46, R47;2;Resistor, 1%;;3.3k;0603;667-ERJ-3EKF3301V;;;;;;;;;;;;;;;;;;;
R51, R52, R53, R54, R55, R56;6;Resistor, 1%;;5.6k;0603;667-ERJ-3EKF5601V;;;;;;;;;;;;;;;;;;;
R13, R14, R16, R17;4;Resistor, 1%;;10k;0603;667-ERJ-3EKF1002V;;;;;;;;;;;;;;;;;;;
R57, R58;2;Resistor, 1%;;22k;0603;667-ERJ-3EKF2202V;;;;;;;;;;;;;;;;;;;
R25, R26, R35;3;Resistor, 1%;;33k;0603;667-ERJ-3EKF3302V;;;;;;;;;;;;;;;;;;;
R48, R49, R50, R59;4;Resistor, 1%;;39k;0603;667-ERJ-3EKF3902V;;;;;;;;;;;;;;;;;;;
R34;1;Resistor, 1%;;47k;0603;667-ERJ-3EKF4702V;;;;;;;;;;;;;;;;;;;
R27, R31;2;Resistor, 1%;;66.5k;0603;667-ERJ-3EKF6652V;;;;;;;;;;;;;;;;;;;
R12, R15, R21, R24, R29, R32, R38, R39;8;Resistor, 1%;;100k;0603;667-ERJ-3EKF1003V;;;;;;;;;;;;;;;;;;;
