mfg part number;quantity 1;Mfg Part Number;Mfg Name;Mouser Part Number;Description;Price 1;Min\Mult;Stock;Lead Time;Lifecycle;NCNR;RoHS;Suggested Replacement;RoHS Replacement;PB Free;Package Type;Package Quantity;Package Price;Data Sheet URL;Product Image
291-1.0-RC;2;291-1.0-RC;Xicon;291-1.0-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 1ohms 0.05;0,173 €;1\1;10 729;10 Weeks;;No;Yes;;;;;;;;
291-24-RC;1;291-24-RC;Xicon;291-24-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 24ohms 0.05;0,173 €;1\1;356;;;No;Yes;;;;;;;;
291-100-RC;2;291-100-RC;Xicon;291-100-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 100ohms 0.05;0,173 €;1\1;214 708;12 Weeks;;No;Yes;;;;;;;;
291-470-RC;3;291-470-RC;Xicon;291-470-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 470ohms 0.05;0,173 €;1\1;80 016;11 Weeks;;No;Yes;;;;;;;;
291-1k-RC;2;291-1K-RC;Xicon;291-1K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 1Kohms 0.05;0,173 €;1\1;462 712;11 Weeks;;No;Yes;;;;;;;;
291-5.6k-RC;1;291-5.6K-RC;Xicon;291-5.6K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 5.6Kohms 0.05;0,173 €;1\1;15 294;11 Weeks;;No;Yes;;;;;;;;
291-10k-RC;4;291-10K-RC;Xicon;291-10K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 10Kohms 0.05;0,173 €;1\1;293 523;12 Weeks;;No;Yes;;;;;;;;
291-15k-RC;2;291-15K-RC;Xicon;291-15K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 15Kohms 0.05;0,173 €;1\1;80 863;11 Weeks;;No;Yes;;;;;;;;
291-27k-RC;1;291-27K-RC;Xicon;291-27K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 27Kohms 0.05;0,173 €;1\1;21 091;12 Weeks;;No;Yes;;;;;;;;
291-100k-RC;4;291-100K-RC;Xicon;291-100K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 100Kohms 0.05;0,173 €;1\1;199 196;12 Weeks;;No;Yes;;;;;;;;
291-120k-RC;2;291-120K-RC;Xicon;291-120K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 120Kohms 0.05;0,173 €;1\1;13 557;;;No;Yes;;;;;;;;
291-300k-RC;1;291-300K-RC;Xicon;291-300K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 300Kohms 0.05;0,173 €;1\1;;11 Weeks;;No;Yes;;;;;;;;
291-470k-RC;2;291-470K-RC;Xicon;291-470K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 470Kohms 0.05;0,173 €;1\1;37 941;;;No;Yes;;;;;;;;
291-1M-RC;2;291-1M-RC;Xicon;291-1M-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 1Mohms 0.05;0,173 €;1\1;85 448;11 Weeks;;No;Yes;;;;;;;;
512-1N4148;3;1N4148;Fairchild Semiconductor;512-1N4148;Diodes - General Purpose, Power, Switching Diodes - General Purpose, Power, Switching 100V Io/200mA BULK;0,094 €;1\1;637 398;6 Weeks;;No;Yes;;;;;;;;
512-1N5817;3;1N5817;Fairchild Semiconductor;512-1N5817;Schottky Diodes & Rectifiers Schottky Diodes & Rectifiers Vr/20V Io/1A T/R;0,405 €;1\1;18 242;6 Weeks;;No;Yes;;;;;;;;
810-FK28C0G2A561J;2;FK28C0G2A561J;TDK;810-FK28C0G2A561J;Multilayer Ceramic Capacitors MLCC - Leaded Multilayer Ceramic Capacitors MLCC - Leaded 560pF 100volts C0G 5%;0,321 €;1\1;1 965;7 Weeks;;No;Yes;;;;;;;;
810-FK24C0G2A332J;1;FK24C0G2A332J;TDK;810-FK24C0G2A332J;Multilayer Ceramic Capacitors MLCC - Leaded Multilayer Ceramic Capacitors MLCC - Leaded 3300pF 100volts C0G 5%;0,377 €;1\1;886;5 Weeks;;No;Yes;;;;;;;;
810-FK28C0G1H392J;1;FK28C0G1H392J;TDK;810-FK28C0G1H392J;Multilayer Ceramic Capacitors MLCC - Leaded Multilayer Ceramic Capacitors MLCC - Leaded 3900pF 50volts C0G +/-5%;0,302 €;1\1;2 134;6 Weeks;;No;Yes;;;;;;;;
594-D103Z25Z5VF63L6R;1;D103Z25Z5VF63L6R;Vishay;594-D103Z25Z5VF63L6R;Ceramic Disc Capacitors Ceramic Disc Capacitors .25LS .01UF 50VDC +80/-20;0,094 €;1\1;4 832;15 Weeks;;No;Yes;;;;;;;;
140-50Q5-223Z-RC;1;140-50Q5-223Z-RC;Xicon;140-50Q5-223Z-RC;Ceramic Disc Capacitors Ceramic Disc Capacitors 50V .022uF Z5V +80%/-20% Tol;;1\1;;;Obsolete;Yes;Yes;;;;;;;;
667-ECQ-E2823KB;1;ECQ-E2823KB;Panasonic;667-ECQ-E2823KB;Film Capacitors Film Capacitors 250DC 0.082uF 10% L/S=5mm;0,377 €;1\1;1 479;17 Weeks;;No;Yes;;;;;;;;
140-50V5-104Z-RC;5;140-50V5-104Z-RC;Xicon;140-50V5-104Z-RC;Ceramic Disc Capacitors Ceramic Disc Capacitors 50V .1uF Y5V +80%/-20% Tol;0,302 €;1\1;2 118;;End of Life;Yes;Yes;;;;;;;;
667-EEU-HD1H4R7;2;EEU-HD1H4R7;Panasonic;667-EEU-HD1H4R7;Aluminum Electrolytic Capacitors - Leaded Aluminum Electrolytic Capacitors - Leaded 4.7uF 50volts 5x11 LS 2.5mm;0,434 €;1\1;970;20 Weeks;;No;Yes;;;;;;;;
667-ECE-A1CKA100;1;ECE-A1CKA100;Panasonic;667-ECE-A1CKA100;Aluminum Electrolytic Capacitors - Leaded Aluminum Electrolytic Capacitors - Leaded 10uF 16V;0,217 €;1\1;233;17 Weeks;;No;Yes;;;;;;;;
