Kinks, v4.1;;;;;;;;
Index;Qty;Description;Specs;Value;Package;Ref. Mouser;References;
SMT parts;;;;;;;;
R12, R13, R14, R22, R23, R34, R35;7;Resistor, 1%;;180;0402;667-ERJ-2RKF1800X;;
R10, R19, R31;3;Resistor, 1%;>= 100mW;1.0k;0402;667-ERJ-2RKF1001X;;
R24;1;Resistor, 1%;;4.7k;0402;667-ERJ-2RKF4701X;;
R26, R30;2;Resistor, 1%;;10k;0402;667-ERJ-2RKF1002X;;
R1, R2, R6, R7, R9, R11;6;Resistor, 0.1%;;200k;0402;279-CPF0402B200KE1;;
R15, R16, R17, R18;4;Resistor, 1%;;220k;0402;667-ERJ-2RKF2203X;;
R3, R4, R5, R8, R28, R29, R36;7;Resistor, 0.1%;;100k;0402;667-ERA-2AEB104X;;
R33;1;Resistor, 1%;;470k;0402;667-ERJ-2RKF4703X;;
R20, R21, R25, R32, R37;5;Resistor, 1%;;1M;0402;667-ERJ-2RKF1004X;;
R27;1;Resistor, 5%;;1.5M;0402;667-ERJ-2GEJ155X;;
C12;1;Capacitor, ceramic;>= 50V, <= 5%, C0G;100p;0402;81-GRM1555C1H101JA1D;Murata GRM1555C1H101JA01D;
C11;1;Capacitor, ceramic;>= 25V, <= 5%, C0G;10n;0603;810-CGA3E1C0G2A103J8;TDK CGA3E1C0G2A103J080AC;
C3, C4, C7, C8, C10;5;Capacitor, ceramic;>= 25V;100n;0402;81-GRM155R61E104KA7D;Murata GRM155R61E104KA87D;
C9, C13;2;Capacitor, tantalum;>= 16V;4.7u;0603;647-F981C475MMA;AVX F981C475MMA;
C1, C2, C5, C6;4;Capacitor, ceramic;>= 25V;22u;0805;81-GRM21BR61E226ME4L;Murata GRM21BR61E226ME44L;
D1, D2;2;Schottky diode PMEG2010AEB;Vf <= 0.5V @ 20mA;;SOD523;771-PMEG2010AEBT/R;NXP PMEG2010AEB,115;
D3, D4, D5, D6, D7, D8, D9, D10, D11, D12;10;Silicon diode 1N4148;;;SOD523;512-1N4148WT;Fairchild Semi 1N4148WT;
IC1, IC3;2;TL074 quad op-amp;;;TSSOP14;595-TL074CPWR;Texas Instruments TL074CPW;
IC2, IC5;2;LM321 single op-amp;;;SOT23-5;926-LM321MFX/NOPB;Texas Instruments LM321MFX/NOPB;
IC4;1;OPA4171 quad op-amp;;;TSSOP14;595-OPA4171AIPW;Texas Instruments OPA4171AIPW;
L1, L2;2;EMI Filter Bead;>= 1k ohm, 300mA;;0603;710-742792664;Wurth Electronics 742792664;
Q1, Q2;2;NPN transistor MMBT3904;;;SOT23-3;863-MMBT3904LT1G;On Semi MMBT3904LT1G;
Q3;1;N-channel JFET MMBFJ309;;;SOT23-3;512-MMBFJ309;Fairchild Semi MMBFJ309;
PTH parts, top side;;;;;;;;
J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12;12;Vertical jack connector;;;;;PJ-301-M-12;
LED1, LED2, LED3;3;LED, Red/Green, 2 terminals;;;2 terminals;604-WP937EGW;Kingbright WP937EGW;
PTH parts, bottom side;;;;;;;;
JP1;1;2x5 male header, 2.54mm pitch;;;;649-67996-410HLF;;
PCB;;19.0 x 108.4;;;;;;
