mfg part number;quantity 1;Mfg Part Number;Mfg Name;Mouser Part Number;Description;Price 1;Min\Mult;Stock;Lead Time;Lifecycle;NCNR;RoHS;Suggested Replacement;RoHS Replacement;PB Free;Package Type;Package Quantity;Package Price;Data Sheet URL;Product Image
291-470-RC;4;291-470-RC;Xicon;291-470-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 470ohms 0.05;0,173 €;1\1;79 994;11 Weeks;;No;Yes;;;Yes;BULK;200;0,032 €;http://www.mouser.com/ds/2/351/XC-600035-197929.pdf;
291-1K-RC;2;291-1K-RC;Xicon;291-1K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 1Kohms 0.05;0,173 €;1\1;461 836;11 Weeks;;No;Yes;;;Yes;BULK;200;0,032 €;http://www.mouser.com/ds/2/351/XC-600035-197929.pdf;
291-2.2K-RC;2;291-2.2K-RC;Xicon;291-2.2K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 2.2Kohms 0.05;0,173 €;1\1;97 650;11 Weeks;;No;Yes;;;Yes;BULK;200;0,032 €;http://www.mouser.com/ds/2/351/XC-600035-197929.pdf;
291-5.1K-RC;2;291-5.1K-RC;Xicon;291-5.1K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 5.1Kohms 0.05;0,173 €;1\1;236;14 Weeks;;No;Yes;;;Yes;BULK;200;0,032 €;http://www.mouser.com/ds/2/351/XC-600035-197929.pdf;
291-7.5k-RC;1;291-7.5K-RC;Xicon;291-7.5K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 7.5Kohms 0.05;0,173 €;1\1;11 698;12 Weeks;;No;Yes;;;Yes;BULK;200;0,032 €;http://www.mouser.com/ds/2/351/XC-600035-197929.pdf;
291-27K-RC;6;291-27K-RC;Xicon;291-27K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 27Kohms 0.05;0,173 €;1\1;21 078;12 Weeks;;No;Yes;;;Yes;BULK;200;0,032 €;http://www.mouser.com/ds/2/351/XC-600035-197929.pdf;
291-39K-RC;2;291-39K-RC;Xicon;291-39K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 39Kohms 0.05;0,173 €;1\1;45 027;12 Weeks;;No;Yes;;;Yes;BULK;200;0,032 €;http://www.mouser.com/ds/2/351/XC-600035-197929.pdf;
291-100K-RC;8;291-100K-RC;Xicon;291-100K-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 100Kohms 0.05;0,173 €;1\1;198 912;12 Weeks;;No;Yes;;;Yes;BULK;200;0,032 €;http://www.mouser.com/ds/2/351/XC-600035-197929.pdf;
291-1M-RC;2;291-1M-RC;Xicon;291-1M-RC;Carbon Film Resistors - Through Hole Carbon Film Resistors - Through Hole 1Mohms 0.05;0,173 €;1\1;85 405;11 Weeks;;No;Yes;;;Yes;BULK;100;0,14 €;http://www.mouser.com/ds/2/351/XC-600035-197929.pdf;
512-1N4148;4;1N4148;Fairchild Semiconductor;512-1N4148;Diodes - General Purpose, Power, Switching Diodes - General Purpose, Power, Switching 100V Io/200mA BULK;0,094 €;1\1;632 123;6 Weeks;;No;Yes;;1N4148TP;No;BULK;2 000;0,011 €;http://www.fairchildsemi.com/an/AN/AN-4107.pdf;
140-50S5-101J-RC;4;140-50S5-101J-RC;Xicon;140-50S5-101J-RC;Ceramic Disc Capacitors Ceramic Disc Capacitors 50V 100pF SL 5% Tol;;1\1;;;Obsolete;Yes;Yes;;;Yes;BULK;200;;http://www.mouser.com/ds/2/188/XC-600144-198731.pdf;
810-FK28C0G2A561J;4;FK28C0G2A561J;TDK;810-FK28C0G2A561J;Multilayer Ceramic Capacitors MLCC - Leaded Multilayer Ceramic Capacitors MLCC - Leaded 560pF 100volts C0G 5%;0,321 €;1\1;1 965;7 Weeks;;No;Yes;;;No;BULK;500;0,088 €;http://www.mouser.com/ds/2/400/eadmlcc_conventional_fk_en-844010.pdf;
140-50V5-104Z-RC;2;140-50V5-104Z-RC;Xicon;140-50V5-104Z-RC;Ceramic Disc Capacitors Ceramic Disc Capacitors 50V .1uF Y5V +80%/-20% Tol;0,302 €;1\1;2 118;;End of Life;Yes;Yes;;;Yes;BULK;200;0,173 €;http://www.mouser.com/ds/2/188/XC-600136-198730.pdf;
871-B41827A9106M000;2;B41827A9106M000;EPCOS / TDK;871-B41827A9106M000;Aluminum Electrolytic Capacitors - Leaded Aluminum Electrolytic Capacitors - Leaded 100volts 10uF 6.3x11mm 85deg C;;1\1;;;;Yes;Yes;;;Yes;BULK;5 000;;;
649-DILB16P-223TLF;1;DILB16P-223TLF;FCI / Amphenol;649-DILB16P-223TLF;IC & Component Sockets IC & Component Sockets 16P SOCKET;0,264 €;1\1;5 491;11 Weeks;;No;Yes;;;No;TUBE;30;0,251 €;http://portal.fciconnect.com/Comergent/en/US/adirect/fci?cmd=catProductDetail&showAddButton=true&productID=DILB16P223TLF;
649-DILB14P-223TLF;1;DILB14P-223TLF;FCI / Amphenol;649-DILB14P-223TLF;IC & Component Sockets IC & Component Sockets 14P DIP SOCKET;0,217 €;1\1;7 334;9 Weeks;;No;Yes;;;No;TUBE;34;0,179 €;http://portal.fciconnect.com/Comergent/en/US/adirect/fci?cmd=catProductDetail&showAddButton=true&productID=DILB14P223TLF;
649-DILB18P-223TLF;1;DILB18P-223TLF;FCI / Amphenol;649-DILB18P223TLF;IC & Component Sockets IC & Component Sockets SOCKETS DIP;0,292 €;1\1;3 779;9 Weeks;;No;Yes;;;No;TUBE;26;0,282 €;http://www.fciconnect.com/fciredir.htm?partnum=DILB18P-223TLF;
595-TL074CN;1;TL074CN;Texas Instruments;595-TL074CN;Operational Amplifiers - Op Amps Operational Amplifiers - Op Amps JFET Input Low Noise;0,604 €;1\1;10 414;6 Weeks;;No;Yes;;;No;TUBE;25;0,505 €;http://www.ti.com/lit/gpn/tl074;
595-TL072IPE4;1;TL072IPE4;Texas Instruments;595-TL072IPE4;Operational Amplifiers - Op Amps Operational Amplifiers - Op Amps Dual Low-Noise JFET-Input;0,641 €;1\1;455;6 Weeks;;No;Yes;595-TL072IP;;No;TUBE;50;0,538 €;http://www.ti.com/litv/pdf/sloa020a;
517-30316-6002;1;30316-6002HB;3M;517-30316-6002;Headers & Wire Housings Headers & Wire Housings 16P STRT 4WALL GLDFL;0,726 €;1\1;2 335;9 Weeks;;No;Yes;;;No;TRAY;1 000;0,407 €;http://www.mouser.com/ds/2/1/TS0818-221281.pdf;
PJ301BM;6;;;;;;;;;;;;;;;;;;;
