;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
helmi 18, 2017 11:58:47;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext: (EUR)
1;667-EEE-FP1E220AR;EEE-FP1E220AR;Panasonic;;Aluminium Electrolytic Capacitors - SMD 22uF 25V ELECT FP SMD;RoHS Compliant;;10;0,278 €;2,78 €
2;649-221111-00010T4LF;20021111-00010T4LF;FCI / Amphenol;;Headers & Wire Housings 1.27x1.27mm BTB, Hdr Unshrd,Vert,T/H, 10P;RoHS Compliant;;3;0,604 €;1,81 €
3;595-TL072CD;TL072CD;Texas Instruments;;Operational Amplifiers - Op Amps JFET Input Low N;RoHS Compliant;;10;0,561 €;5,61 €
4;863-MMBT3904LT1G;MMBT3904LT1G;ON Semiconductor;;Bipolar Transistors - BJT NPN GENERAL PURPOSE;RoHS Compliant;;12;0,084 €;1,01 €
5;595-LM4040C25IDBZR;LM4040C25IDBZR;Texas Instruments;;Voltage References 2.5-V Precision Mcrpwr Shunt .5% acc;RoHS Compliant;;4;0,783 €;3,13 €
6;926-LM321MFX/NOPB;LM321MFX/NOPB;Texas Instruments;;Operational Amplifiers - Op Amps LOW PWR SGL OP AMP;RoHS Compliant;;8;0,604 €;4,83 €
7;81-PV36X503C01B00;PV36X503C01B00;Bourns;;Trimmer Resistors - Through Hole 50Kohms 10mm Square 25turns;RoHS Compliant;;2;1,43 €;2,86 €
8;926-LM1117MPX3.3NOPB;LM1117MPX-3.3/NOPB;Texas Instruments;;LDO Voltage Regulators 800MA LDO LINEAR REG;RoHS Compliant;;4;0,943 €;3,77 €
9;81-GRM185C1H221GA01D;GRM1885C1H221GA01D;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 220pF 50volts C0G 2%;RoHS Compliant;;10;0,058 €;0,58 €
10;511-STM32F103CBT6;STM32F103CBT6;STMicroelectronics;;ARM Microcontrollers - MCU 32BIT Cortex M3 128K MED Performance LN;RoHS Compliant;;1;6,37 €;6,37 €
11;611-D6R90LFS;D6R90 F1 LFS;C&K Components;;Pushbutton Switches ROUND BLACK;RoHS Compliant;;3;0,726 €;2,18 €
12;81-GRM1885C1H102FA1J;GRM1885C1H102FA01J;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.001uF 50Volts 1%;RoHS Compliant;;10;0,041 €;0,41 €
13;649-68002-106HLF;68002-106HLF;FCI / Amphenol;;Headers & Wire Housings UNSHROUDED HEADER VERT THRU HOLE 6 POS;RoHS Compliant;;3;0,443 €;1,33 €
14;604-WP115VEGW;WP115VEGW;Kingbright;;Standard LEDs - Through Hole Red Green 625 568nm Diffused 50 30mcd;RoHS Compliant;;10;0,211 €;2,11 €
