;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
03-Apr-17 14:38:29;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext.: (EUR)
1;81-GRM188R71E104JA1J;GRM188R71E104JA01J;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 25Volts X7R 5%;RoHS Compliant;;50;0,044 €;2,20 €
2;595-DAC8552IDGKT;DAC8552IDGKT;Texas Instruments;;Digital to Analog Converters - DAC 16-Bit Dual Channell DAC;RoHS Compliant;;1;7,79 €;7,79 €
3;649-68002-106HLF;68002-106HLF;FCI / Amphenol;;Headers & Wire Housings UNSHROUDED HEADER VERT THRU HOLE 6 POS;RoHS Compliant;;2;0,443 €;0,89 €
4;652-CR0603FX-1000ELF;CR0603-FX-1000ELF;Bourns;;Thick Film Resistors - SMD 100ohm 1% 1/10W;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
5;667-EEE-FK1V470P;EEE-FK1V470P;Panasonic;;Aluminium Electrolytic Capacitors - SMD 47uF 35V;RoHS Compliant;;10;0,264 €;2,64 €
6;667-ERJ-3EKF1002V;ERJ-3EKF1002V;Panasonic;;Thick Film Resistors - SMD 0603 10Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;20;0,013 €;0,26 €
7;667-EVQ-Q2K01W;EVQ-Q2K01W;Panasonic;;Tactile Switches Switch Light Touch 6mm Square SMD;RoHS Compliant;;4;0,377 €;1,51 €
8;81-GRM185C1H180JA01J;GRM1885C1H180JA01J;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 18pF 50volts C0G 5%;RoHS Compliant;;20;0,031 €;0,62 €
9;926-LM1117DT-3.3NOPB;LM1117DT-3.3/NOPB;Texas Instruments;;LDO Voltage Regulators 800MA LDO LINEAR REG;RoHS Compliant;;2;1,45 €;2,90 €
10;926-LM1117MPX3.3NOPB;LM1117MPX-3.3/NOPB;Texas Instruments;;LDO Voltage Regulators 800MA LDO LINEAR REG;RoHS Compliant;;2;0,943 €;1,89 €
11;926-LME49720MAX/NOPB;LME49720MAX/NOPB;Texas Instruments;;Audio Amplifiers LME49720MA;RoHS Compliant;;4;2,55 €;10,20 €
12;595-LM4040C10IDBZT;LM4040C10IDBZT;Texas Instruments;;Voltage References 10-V Prec Micropower Shunt 0.5% accuracy;RoHS Compliant;;4;1,17 €;4,68 €
;;;;;;;;;;
;;;;;;;;;;
"By submitting your order you agree

to these terms and conditions.";;;;;;;;;Merchandise Total:;36,06 €
Prices are reflected at the date and time shown.;;;;;;;;;Delivery Charge:;20,00 €
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
