;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
30-May-17 18:03:54;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext.: (EUR)
1;667-ERJ-6ENF4700V;ERJ-6ENF4700V;Panasonic;;Thick Film Resistors - SMD 0805 470ohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
2;667-ERJ-6ENF3003V;ERJ-6ENF3003V;Panasonic;;Thick Film Resistors - SMD 0805 300Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
3;667-ERJ-6ENF2003V;ERJ-6ENF2003V;Panasonic;;Thick Film Resistors - SMD 0805 200Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;20;0,021 €;0,42 €
4;667-ERJ-6ENF4702V;ERJ-6ENF4702V;Panasonic;;Thick Film Resistors - SMD 0805 47Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
5;667-ERJ-6ENF2702V;ERJ-6ENF2702V;Panasonic;;Thick Film Resistors - SMD 0805 27Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
6;667-ERJ-6ENF1801V;ERJ-6ENF1801V;Panasonic;;Thick Film Resistors - SMD 0805 1.8Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
7;667-ERJ-6ENF2402V;ERJ-6ENF2402V;Panasonic;;Thick Film Resistors - SMD 0805 24Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
8;667-ERJ-6ENF1004V;ERJ-6ENF1004V;Panasonic;;Thick Film Resistors - SMD 0805 1Mohms 1% Tol AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
9;667-ERJ-6ENF5601V;ERJ-6ENF5601V;Panasonic;;Thick Film Resistors - SMD 0805 5.6Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
10;667-ERJ-6ENF1003V;ERJ-6ENF1003V;Panasonic;;Thick Film Resistors - SMD 0805 100Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;100;0,008 €;0,80 €
11;667-ERJ-6ENF1403V;ERJ-6ENF1403V;Panasonic;;Thick Film Resistors - SMD 0805 140Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
12;667-ERJ-6ENF1504V;ERJ-6ENF1504V;Panasonic;;Thick Film Resistors - SMD 0805 1.5Mohms 1% Tol AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
13;667-ERJ-6ENF5603V;ERJ-6ENF5603V;Panasonic;;Thick Film Resistors - SMD 0805 560Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
14;667-ERJ-6ENF6803V;ERJ-6ENF6803V;Panasonic;;Thick Film Resistors - SMD 0805 680Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,021 €;0,21 €
