;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
25-Jun-17 08:30:50;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext.: (EUR)
1;511-STM32F103CBT6;STM32F103CBT6;STMicroelectronics;;ARM Microcontrollers - MCU 32BIT Cortex M3 128K MED Performance LN;RoHS Compliant;;1;5,75 €;5,75 €
2;579-MCP1703T-5002ECB;MCP1703T-5002E/CB;Microchip;;LDO Voltage Regulators Low Iq 250mA LDO Vin 16V maxVout 5.0V;RoHS Compliant;;1;0,537 €;0,54 €
3;595-CD74HC595M;CD74HC595M;Texas Instruments;;Counter Shift Registers 8-Bit Shift Register;RoHS Compliant;;2;0,797 €;1,59 €
4;595-DAC8564IDPW;DAC8564IDPW;Texas Instruments;;Digital to Analog Converters - DAC 16B Quad Ch Ultra-Lo Glitch Vltg Output;RoHS Compliant;;1;15,20 €;15,20 €
5;595-OPA4171AIDR;OPA4171AIDR;Texas Instruments;;Operational Amplifiers - Op Amps 36V,Low Pwr,RRO,Gen Purp Op Amp;RoHS Compliant;;1;2,13 €;2,13 €
6;595-REF02AU;REF02AU;Texas Instruments;;Voltage References +5V Precision Voltage Reference;RoHS Compliant;;1;4,10 €;4,10 €
7;595-SNAHCT1G125DBVR;SN74AHCT1G125DBVR;Texas Instruments;;Buffers & Line Drivers Tri-State Single Bus;RoHS Compliant;;4;0,367 €;1,47 €
8;604-PDC54-11GWA;PDC54-11GWA;Kingbright;;LED Displays & Accessories .54 DUAL GREEN;RoHS Compliant;;1;3,20 €;3,20 €
9;604-WP424GDT;WP424GDT;Kingbright;;Standard LEDs - Through Hole 3MM FLAT TOP GRN;RoHS Compliant;;4;0,224 €;0,90 €
10;611-D6R00F1LFS;D6R00 F1 LFS;C&K Components;;Pushbutton Switches Key Switch N.O. SPDT 100 mA;RoHS Compliant;;3;1,07 €;3,21 €
11;652-CR0603FX-1002GLF;CR0603-FX-1002GLF;Bourns;;Thick Film Resistors - SMD 10K 1% 1/10W;RoHS Compliant By Exemption;;10;0,024 €;0,24 €
12;652-CR0603FX-1000ELF;CR0603-FX-1000ELF;Bourns;;Thick Film Resistors - SMD 100ohm 1% 1/10W;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
13;652-CR0603FX-1001ELF;CR0603-FX-1001ELF;Bourns;;Thick Film Resistors - SMD 1K 1% 1/10W;RoHS Compliant By Exemption;;10;0,024 €;0,24 €
14;652-CR0603FX-2200ELF;CR0603-FX-2200ELF;Bourns;;Thick Film Resistors - SMD 220 ohm 1%;RoHS Compliant By Exemption;;10;0,024 €;0,24 €
15;652-CR0603FX-2403ELF;CR0603-FX-2403ELF;Bourns;;Thick Film Resistors - SMD 240K ohm 1%;RoHS Compliant By Exemption;;10;0,027 €;0,27 €
16;652-CR0603FX-4702ELF;CR0603-FX-4702ELF;Bourns;;Thick Film Resistors - SMD 47K ohm 1%;RoHS Compliant By Exemption;;10;0,024 €;0,24 €
17;652-CR0603FX-51R0ELF;CR0603-FX-51R0ELF;Bourns;;Thick Film Resistors - SMD 51 ohm 1%;RoHS Compliant By Exemption;;10;0,024 €;0,24 €
18;81-GRM1885C1H180FA;GRM1885C1H180FA01D;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 18pF 50volts C0G 1%;RoHS Compliant;;10;0,057 €;0,57 €
19;863-MMBT3904LT1G;MMBT3904LT1G;ON Semiconductor;;Bipolar Transistors - BJT NPN GENERAL PURPOSE;RoHS Compliant;;2;0,09 €;0,18 €
20;512-6N137SM;6N137SM;Fairchild Semiconductor;;High Speed Optocouplers 8 PW DIP HIGH SPEED LOGIC GATE OPTOCOUP;RoHS Compliant;;1;1,07 €;1,07 €
21;81-GRM188R61E105KA12;GRM188R61E105KA12D;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1uF 25volts X5R 10%;RoHS Compliant;;10;0,036 €;0,36 €
22;161-0005-E;161-0005-E;Kobiconn;;DIN Connectors 5 PIN DIN PANEL MNT;RoHS Compliant;;2;1,25 €;2,50 €
23;909-ARM-JTAG-20-10;ARM-JTAG-20-10;Olimex Ltd.;;"Sockets & Adapters JTAG 20 PIN 0.1"" TO 10 PIN 0.05"" ADAPTER";RoHS Compliant;;1;4,95 €;4,95 €
24;647-UWX1E4R7MCL2;UWX1E4R7MCL2GB;Nichicon;;Aluminium Electrolytic Capacitors - SMD 25volts 4.7uF 20%;RoHS Compliant;;10;0,103 €;1,03 €
25;652-PEC11R-4220F-S24;PEC11R-4220F-S0024;Bourns;MICROBRAIDS;Encoders 20mm SHAFT w/SWITCH;RoHS Compliant;;1;1,54 €;1,54 €
26;502-57NC5FX;57NC5FX;Switchcraft;;DIN Connectors PC BOARD DIN RECEPT;RoHS Compliant;;2;4,42 €;8,84 €
;;;;;;;;;;
;;;;;;;;;;
"By submitting your order you agree

to these terms and conditions.";;;;;;;;;Merchandise Total:;61,08 €
Prices are reflected at the date and time shown.;;;;;;;;;Delivery Charge:;0,00 €
;;;;;;;;;Back-order Delivery:;0,00 €
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
