;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
MICROBRAIDS V1;;;;;;;;;
Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext.: (EUR)
652-PEC11R-4220F-S24;PEC11R-4220F-S0024;Bourns;microbraids;Encoders 20mm SHAFT w/SWITCH;RoHS Compliant By Exemption;;1;1,54 €;1,54 €
81-GRM1885C1H102FA1D;GRM1885C1H102FA01D;Murata;microbraids;Multilayer Ceramic Capacitors MLCC - SMD/SMT 1000PF 50V 1%;RoHS Compliant;;4;0,123 €;0,49 €
71-CRCW12064R70FKEA;CRCW12064R70FKEA;Vishay;microbraids;Thick Film Resistors - SMD 1/4watt 4.7ohms 1%;RoHS Compliant By Exemption;;1;0,094 €;0,09 €
667-EEE-FK1E220R;EEE-FK1E220R;Panasonic;microBraids;Aluminium Electrolytic Capacitors - SMD 22uF 25V;RoHS Compliant;;2;0,453 €;0,91 €
538-22-28-4060;22-28-4060;Molex;microBraids;Headers & Wire Housings 6P VERT HEADER Sn;RoHS Compliant;;1;0,302 €;0,30 €
538-87914-1026;87914-1026;Molex;microBraids;Headers & Wire Housings 2.54mm DRSW Hdr TH 10Ckt;RoHS Compliant;;1;0,594 €;0,59 €
863-MC7805BDTRKG;MC7805BDTRKG;ON Semiconductor;MicroBraids;Linear Voltage Regulators 5V 1A Positive;RoHS Compliant;;1;0,585 €;0,59 €
595-TL074CPWR;TL074CPWR;Texas Instruments;MicroBraids;Operational Amplifiers - Op Amps Quad Low Noise JFET;RoHS Compliant;;1;0,538 €;0,54 €
595-TL072CPWR;TL072CPWR;Texas Instruments;MicroBraids;Operational Amplifiers - Op Amps Dual Lw Nois JFET Op;RoHS Compliant;;1;0,556 €;0,56 €
579-MCP3204-CI/ST;MCP3204-CI/ST;Microchip;MicroBraids;Analog to Digital Converters - ADC 12-bit SPI 4 Chl;RoHS Compliant;;1;3,15 €;3,15 €
595-SN74HC595PWR;SN74HC595PWR;Texas Instruments;MicroBraids;Counter Shift Registers 8-Bit Shift Register;RoHS Compliant;;2;0,49 €;0,98 €
595-LM4040B10IDBZR;LM4040B10IDBZR;Texas Instruments;MicroBraids;Voltage References 10-V Prec Micropower Shunt .2% accuracy;RoHS Compliant;;1;1,66 €;1,66 €
556-ATMEGA328P-AU;ATMEGA328P-AU;Microchip;MicroBraids;8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V;RoHS Compliant;;1;1,95 €;1,95 €
595-CD74HC4067SM96;CD74HC4067SM96;Texas Instruments;MicroBraids;Multiplexer Switch ICs 16-Ch Analog;RoHS Compliant;;1;0,773 €;0,77 €
652-PTV09A-4225UB103;PTV09A-4225U-B103;Bourns;MicroBraids;Potentiometers 10K LINEAR 20%;RoHS Compliant;;6;0,767 €;4,60 €
511-STM32F103CBT6;STM32F103CBT6;STMicroelectronics;;ARM Microcontrollers - MCU 32BIT Cortex M3 128K MED Performance LN;RoHS Compliant;;1;6,37 €;6,37 €
863-MMBT3904LT1G;MMBT3904LT1G;ON Semiconductor;;Bipolar Transistors - BJT NPN GENERAL PURPOSE;RoHS Compliant;;1;0,094 €;0,09 €
667-EVQ-Q2K01W;EVQ-Q2K01W;Panasonic;DIY Tides;Tactile Switches Switch Light Touch 6mm Square SMD;RoHS Compliant;;2;0,377 €;0,75 €
815-ABLS2-8-D4Y-T;ABLS2-8.000MHZ-D4Y-T;ABRACON;;Crystals 8.0MHz 30ppm 18pF -40C+85C;RoHS Compliant;;1;0,358 €;0,36 €
